"isolate","treatment","variable","mean_value","min_value","max_value","stdev_value","ENR","species","origin","mod_variable"
"34A1","con","16",1.05733333333333,1.035,1.09,0.0166966397151576,"FabV","plecoglossicida","study_isolate",16
"34A1","con","4",1.20266666666667,1.126,1.298,0.0505217225007664,"FabV","plecoglossicida","study_isolate",4
"34A1","inh","16",-0.001,-0.002,0,0.000577350269189626,"FabV","plecoglossicida","study_isolate",16
"34A1","inh","4",0,-0.001,0.001,0.000577350269189626,"FabV","plecoglossicida","study_isolate",4
"34A1","inh",".25",0.532666666666667,0.092,0.835,0.225362177641039,"FabV","plecoglossicida","study_isolate",0.25
"39A1","con",".25",0.0466666666666667,0.026,0.083,0.0182239159104489,"No FabV","psychrotolerans","study_isolate",0.25
"39A1","con","16",-0.000333333333333333,-0.001,0,0.000333333333333333,"No FabV","psychrotolerans","study_isolate",16
"39A1","con","32",0.001,0,0.002,0.000577350269189626,"No FabV","psychrotolerans","study_isolate",32
"39A1","inh","1",0.00166666666666667,0.001,0.002,0.000333333333333333,"No FabV","psychrotolerans","study_isolate",1
"39A1","con",".0625",0.319,0.183,0.519,0.10213716267843,"No FabV","psychrotolerans","study_isolate",0.0625
"39A1","inh",".5",0.000333333333333333,-0.001,0.001,0.000666666666666667,"No FabV","psychrotolerans","study_isolate",0.5
"39A1","con","8",-0.000666666666666667,-0.002,0,0.000666666666666667,"No FabV","psychrotolerans","study_isolate",8
"39A1","inh",".25",0.000666666666666667,0,0.002,0.000666666666666667,"No FabV","psychrotolerans","study_isolate",0.25
"39A1","con","4",-0.000333333333333333,-0.001,0,0.000333333333333333,"No FabV","psychrotolerans","study_isolate",4
"39A1","inh",".125",0,-0.001,0.001,0.000577350269189626,"No FabV","psychrotolerans","study_isolate",0.125
"39A1","con","1",0,-0.002,0.001,0.001,"No FabV","psychrotolerans","study_isolate",1
"39A1","inh","GC",0.356,0.299,0.442,0.0437530951286116,"No FabV","psychrotolerans","study_isolate",0
"39A1","con",".5",0.00166666666666667,-0.001,0.005,0.00176383420737639,"No FabV","psychrotolerans","study_isolate",0.5
"39A1","con","GC",0.216666666666667,0.16,0.299,0.0421281114907585,"No FabV","psychrotolerans","study_isolate",0
"39A1","con",".125",0.191333333333333,0.066,0.438,0.123338738620291,"No FabV","psychrotolerans","study_isolate",0.125
"39A1","inh","16",-0.000333333333333333,-0.001,0.001,0.000666666666666667,"No FabV","psychrotolerans","study_isolate",16
"39A1","con","2",0.000333333333333333,-0.001,0.001,0.000666666666666667,"No FabV","psychrotolerans","study_isolate",2
"39A1","inh",".0625",0.000666666666666667,0,0.001,0.000333333333333333,"No FabV","psychrotolerans","study_isolate",0.0625
"39A1","inh","4",0,0,0,0,"No FabV","psychrotolerans","study_isolate",4
"39A1","inh","2",0,0,0,0,"No FabV","psychrotolerans","study_isolate",2
"39A1","inh","8",0.000333333333333333,0,0.001,0.000333333333333333,"No FabV","psychrotolerans","study_isolate",8
"39A1","inh","32",0.0133333333333333,0.001,0.026,0.00721880260923591,"No FabV","psychrotolerans","study_isolate",32
"45C2","con","32",0.00133333333333333,0.001,0.002,0.000333333333333333,"No FabV","viridiflava","study_isolate",32
"45C2","con",".125",0.0496666666666667,0.001,0.122,0.0368796842599162,"No FabV","viridiflava","study_isolate",0.125
"45C2","inh","16",-0.00133333333333333,-0.002,-0.001,0.000333333333333333,"No FabV","viridiflava","study_isolate",16
"45C2","inh","2",0.002,0.001,0.003,0.000577350269189626,"No FabV","viridiflava","study_isolate",2
"45C2","inh","32",0.009,0.005,0.014,0.00264575131106459,"No FabV","viridiflava","study_isolate",32
"45C2","inh",".125",0.000333333333333333,0,0.001,0.000333333333333333,"No FabV","viridiflava","study_isolate",0.125
"45C2","inh",".5",0.000666666666666667,0,0.002,0.000666666666666667,"No FabV","viridiflava","study_isolate",0.5
"45C2","inh",".25",0.000333333333333333,0,0.001,0.000333333333333333,"No FabV","viridiflava","study_isolate",0.25
"45C2","con","8",0.000333333333333333,0,0.001,0.000333333333333333,"No FabV","viridiflava","study_isolate",8
"45C2","inh","1",0.00366666666666667,0.002,0.005,0.000881917103688197,"No FabV","viridiflava","study_isolate",1
"45C2","con",".5",0.00266666666666667,0,0.005,0.00145296631451356,"No FabV","viridiflava","study_isolate",0.5
"45C2","inh","8",0.000333333333333333,-0.001,0.002,0.000881917103688197,"No FabV","viridiflava","study_isolate",8
"45C2","con","16",-0.000333333333333333,-0.001,0,0.000333333333333333,"No FabV","viridiflava","study_isolate",16
"45C2","con",".25",0.026,0.005,0.062,0.0180831413200251,"No FabV","viridiflava","study_isolate",0.25
"45C2","con","GC",0.462333333333333,0.376,0.576,0.0593305242780739,"No FabV","viridiflava","study_isolate",0
"45C2","con","2",0.00366666666666667,0.001,0.006,0.00145296631451356,"No FabV","viridiflava","study_isolate",2
"45C2","con",".0625",0.0876666666666667,0.002,0.215,0.0649213199016916,"No FabV","viridiflava","study_isolate",0.0625
"45C2","inh","4",0.002,0,0.003,0.001,"No FabV","viridiflava","study_isolate",4
"45C2","inh","GC",0.151666666666667,0.135,0.172,0.0108371788046726,"No FabV","viridiflava","study_isolate",0
"45C2","con","4",0.00366666666666667,0.001,0.006,0.00145296631451356,"No FabV","viridiflava","study_isolate",4
"45C2","con","1",0.003,0,0.005,0.00152752523165195,"No FabV","viridiflava","study_isolate",1
"45C2","inh",".0625",-0.000666666666666667,-0.002,0,0.000666666666666667,"No FabV","viridiflava","study_isolate",0.0625
"4A7","con","2",0.857333333333333,0.729,0.942,0.0652490953534564,"FabV","entomophila","study_isolate",2
"4A7","con","128",0.212666666666667,0.074,0.424,0.107370593946594,"FabV","entomophila","study_isolate",128
"4A7","con","1",0.840333333333333,0.718,0.985,0.0778809632994125,"FabV","entomophila","study_isolate",1
"4A7","inh","2",0.000333333333333333,0,0.001,0.000333333333333333,"FabV","entomophila","study_isolate",2
"4A7","con","64",0.584,0.547,0.615,0.0198578280114753,"FabV","entomophila","study_isolate",64
"4A7","con","16",0.539666666666667,0.415,0.625,0.0637320780908467,"FabV","entomophila","study_isolate",16
"4A7","inh","1",0.0163333333333333,0,0.042,0.0129914501799367,"FabV","entomophila","study_isolate",1
"4A7","con","32",0.520666666666667,0.431,0.586,0.0463692906039235,"FabV","entomophila","study_isolate",32
"4A7","con","8",0.640333333333333,0.492,0.778,0.0827331721728218,"FabV","entomophila","study_isolate",8
"4A7","con",".5",0.826,0.709,0.971,0.0769177049406268,"FabV","entomophila","study_isolate",0.5
"4A7","inh","128",0.0336666666666667,0.012,0.07,0.0182787064944736,"FabV","entomophila","study_isolate",128
"4A7","inh","32",0.00666666666666667,0.001,0.017,0.00517472489875334,"FabV","entomophila","study_isolate",32
"4A7","inh","8",0.000333333333333333,0,0.001,0.000333333333333333,"FabV","entomophila","study_isolate",8
"4A7","inh",".5",0.558666666666667,0.364,0.772,0.118148682223337,"FabV","entomophila","study_isolate",0.5
"4A7","inh","GC",0.722,0.614,0.836,0.0641560597293818,"FabV","entomophila","study_isolate",0
"4A7","con","4",0.904,0.815,1.013,0.058025856305616,"FabV","entomophila","study_isolate",4
"4A7","con",".25",0.884,0.714,1.134,0.127671453348037,"FabV","entomophila","study_isolate",0.25
"4A7","inh","64",0.0266666666666667,0.016,0.048,0.0106666666666667,"FabV","entomophila","study_isolate",64
"4A7","inh","16",0.000333333333333333,-0.001,0.002,0.000881917103688197,"FabV","entomophila","study_isolate",16
"4A7","inh","4",0,0,0,0,"FabV","entomophila","study_isolate",4
"4A7","inh",".25",0.694,0.466,0.841,0.115581140330073,"FabV","entomophila","study_isolate",0.25
"4A7","con","GC",0.941,0.821,1.089,0.078621455934963,"FabV","entomophila","study_isolate",0
